Postal Code,City,Street,Company
1101,København K,Ny Østergade,
1102,København K,Pistolstræde,
1103,København K,Hovedvagtsgade,
1104,København K,Ny Adelgade,
1105,København K,Kristen Bernikows Gade,
1106,København K,Antonigade,
1107,København K,Grønnegade,
1110,København K,Store Regnegade,
1111,København K,Christian IX's Gade,
1112,København K,Pilestræde,
1113,København K,Silkegade,
1114,København K,Kronprinsensgade,
1115,København K,Klareboderne,
1116,København K,Møntergade,
1117,København K,Gammel Mønt,
1118,København K,Sværtegade,
1119,København K,Landemærket,
1120,København K,Vognmagergade,
1121,København K,Lønporten,
1122,København K,Sjæleboderne,
1123,København K,Gothersgade,
1124,København K,Åbenrå,
1125,København K,Suhmsgade,
1126,København K,Pustervig,
1127,København K,Hauser Plads,
1128,København K,Hausergade,
1129,København K,Sankt Gertruds Stræde,
1130,København K,Rosenborggade,
1131,København K,Tornebuskegade,
1140,København K,Møntergade 19,Dagbladet Børsen
1147,København K,Pilestræde 34,Berlingske Tidende
1148,København K,Vognmagergade 11,Gutenberghus
1150,København K,Købmagergade,
1151,København K,Valkendorfsgade,
1152,København K,Løvstræde,
1153,København K,Niels Hemmingsens Gade,
1154,København K,Gråbrødretorv,
1155,København K,Kejsergade,
1156,København K,Gråbrødrestræde,
1157,København K,Klosterstræde,
1158,København K,Skoubogade,
1159,København K,Skindergade,
1160,København K,Amagertorv,
1161,København K,Vimmelskaftet,
1162,København K,Jorcks Passage,
1163,København K,Klostergården,
1164,København K,Nygade,
1165,København K,Nørregade,
1166,København K,Dyrkøb,
1167,København K,Bispetorvet,
1168,København K,Frue Plads,
1169,København K,Store Kannikestræde,
1170,København K,Lille Kannikestræde,
1171,København K,Fiolstræde,
1172,København K,Krystalgade,
1173,København K,Peder Hvitfeldts Stræde,
1174,København K,Rosengården,
1175,København K,Kultorvet,
1200,København K,Højbro Plads,
1201,København K,Læderstræde,
1202,København K,Gammel Strand,
1203,København K,Nybrogade,
1204,København K,Magstræde,
1205,København K,Snaregade,
1206,København K,Naboløs,
1207,København K,Hyskenstræde,
1208,København K,Kompagnistræde,
1209,København K,Badstuestræde,
1210,København K,Knabrostræde,
1211,København K,Brolæggerstræde,
1212,København K,Vindebrogade,
1213,København K,Bertel Thorvaldsens Plads,
1214,København K,Søren Kierkegaards Plads,
1214,København K,Tøjhusgade,
1215,København K,Børsgade,
1216,København K,Slotsholmsgade,
1217,København K,Børsen,
1218,København K,Rigsdagsgården,
1218,København K,Proviantpassagen,
1218,København K,Prins Jørgens Gård,
1218,København K,Christiansborg Ridebane,
1218,København K,Christiansborg Slotsplads,
1218,København K,Christiansborg,
1219,København K,Christians Brygge ulige nr. + 2-22,
1220,København K,Frederiksholms Kanal,
1240,København K,Christiansborg,Folketinget
1250,København K,Sankt Annæ Plads,
1251,København K,Kvæsthusgade,
1252,København K,Kvæsthusbroen,
1253,København K,Toldbodgade,
1254,København K,Lille Strandstræde,
1255,København K,Store Strandstræde,
1256,København K,Amaliegade,
1257,København K,Amalienborg,
1258,København K,Larsens Plads,
1259,København K,Nordre Toldbod,
1259,København K,Trekroner,
1260,København K,Bredgade,
1261,København K,Palægade,
1263,København K,Churchillparken,
1263,København K,Esplanaden,
1264,København K,Store Kongensgade,
1265,København K,Frederiksgade,
1266,København K,Bornholmsgade,
1267,København K,Hammerensgade,
1268,København K,Jens Kofods Gade,
1270,København K,Grønningen,
1271,København K,Poul Ankers Gade,
1291,København K,Sankt Annæ Plads 26-28,J. Lauritzen A/S
1300,København K,Borgergade,
1301,København K,Landgreven,
1302,København K,Dronningens Tværgade,
1303,København K,Hindegade,
1304,København K,Adelgade,
1306,København K,Kronprinsessegade,
1307,København K,Sølvgade,
1307,København K,Georg Brandes Plads,
1308,København K,Klerkegade,
1309,København K,Rosengade,
1310,København K,Fredericiagade,
1311,København K,Olfert Fischers Gade,
1312,København K,Gammelvagt,
1313,København K,Sankt Pauls Gade,
1314,København K,Sankt Pauls Plads,
1315,København K,Rævegade,
1316,København K,Rigensgade,
1317,København K,Stokhusgade,
1318,København K,Krusemyntegade,
1319,København K,Gernersgade,
1320,København K,Haregade,
1321,København K,Tigergade,
1322,København K,Suensonsgade,
1323,København K,Hjertensfrydsgade,
1324,København K,Elsdyrsgade,
1325,København K,Delfingade,
1326,København K,Krokodillegade,
1327,København K,Vildandegade,
1328,København K,Svanegade,
1329,København K,Timiansgade,
1349,København K,Sølvgade 40,DSB
1350,København K,Øster Voldgade,
1352,København K,Rørholmsgade,
1353,København K,Øster Farimagsgade 1-19 + 2-2D,
1354,København K,Ole Suhrs Gade,
1355,København K,Gammeltoftsgade,
1356,København K,Bartholinsgade,
1357,København K,Øster Søgade 1 - 36,
1358,København K,Nørre Voldgade,
1359,København K,Ahlefeldtsgade,
1360,København K,Frederiksborggade,
1361,København K,Israels Plads,
1361,København K,Linnésgade,
1362,København K,Rømersgade,
1363,København K,Vendersgade,
1364,København K,Nørre Farimagsgade,
1365,København K,Schacksgade,
1366,København K,Nansensgade,
1367,København K,Kjeld Langes Gade,
1368,København K,Turesensgade,
1369,København K,Gyldenløvesgade Lige nr,
1370,København K,Nørre Søgade,
1371,København K,Søtorvet,
1400,København K,Torvegade,
1400,København K,Knippelsbro,
1401,København K,Strandgade
1402,København K,Johan Semps Gade
1402,København K,Asiatisk Plads
1402,København K,David Balfours Gade
1402,København K,Hammershøi Kaj
1402,København K,Nicolai Eigtveds Gade
1403,København K,Wilders Plads
1404,København K,Krøyers Plads
1405,København K,Grønlandske Handels Plads
1406,København K,Christianshavns Kanal
1407,København K,Bådsmandsstræde
1408,København K,Wildersgade
1409,København K,Knippelsbrogade
1410,København K,Christianshavns Torv
1411,København K,Langebrogade
1411,København K,Applebys Plads
1412,København K,Voldgården
1413,København K,Ved Kanalen
1414,København K,Overgaden neden Vandet
1415,København K,Overgaden oven Vandet
1416,København K,Sankt Annæ Gade
1417,København K,Mikkel Vibes Gade
1418,København K,Sofiegade
1419,København K,Store Søndervoldstræde
1420,København K,Dronningensgade
1421,København K,Lille Søndervoldstræde
1422,København K,Prinsessegade
1423,København K,Amagergade
1424,København K,Christianshavns Voldgade
1425,København K,Ved Volden
1426,København K,Voldboligerne
1427,København K,Brobergsgade
1428,København K,Andreas Bjørns Gade
1429,København K,Burmeistersgade
1430,København K,Bodenhoffs Plads
1431,København K,Islands Plads
1432,København K,William Wains Gade
1432,København K,Margretheholmsvej
1432,København K,Refshalevej
1433,København K,Christiansholms Ø
1433,København K,Quintus
1433,København K,Flakfortet
1433,København K,Lynetten
1433,København K,Margretheholm
1433,København K,Refshaleøen
1433,København K,Middelgrundsfortet
1434,København K,Danneskiold-Samsøes Allé
1435,København K,Philip de Langes Allé
1436,København K,Halvtolv
1436,København K,Kuglegården
1436,København K,Værftsbroen
1436,København K,Trangravsvej
1436,København K,Arsenalvej
1436,København K,Kuglegårdsvej
1436,København K,Søartillerivej
1437,København K,Kanonbådsvej
1437,København K,Masteskursvej
1437,København K,Bohlendachvej
1437,København K,Stibolts Kvarter,
1437,København K,Takkelloftsvej,
1437,København K,Theodor Christensens Plads,
1437,København K,Hohlenbergs Kvarter,
1437,København K,Krabbes Kvarter,
1437,København K,Eik Skaløes Plads,
1437,København K,Leo Mathisens Vej,
1437,København K,Schifters Kvarter,
1437,København K,Per Knutzons Vej,
1437,København K,Fabrikmestervej,
1437,København K,Galionsvej,
1438,København K,Judichærs Kvarter,
1438,København K,Benstrups Kvarter,
1438,København K,Dokøvej,
1438,København K,Judichærs Plads,
1438,København K,Ekvipagemestervej,
1438,København K,Orlogsværftvej,
1439,København K,Kongebrovej,
1439,København K,H.C. Sneedorffs Allé,
1439,København K,A.H. Vedels Plads,
1439,København K,Henrik Spans Vej,
1439,København K,Takkeladsvej,
1439,København K,Spanteloftvej,
1439,København K,Henrik Gerners Plads,
1439,København K,Krudtløbsvej,
1439,København K,Bradbænken,
1439,København K,Elefanten,
1439,København K,Eskadrevej,
1439,København K,P. Løvenørns Vej,
1440,København K,Blå Karamel,
1440,København K,Mælkevejen,
1440,København K,Sydområdet,
1440,København K,Psyak,
1440,København K,Løvehuset,
1440,København K,Tinghuset,
1440,København K,Fredens Ark,
1440,København K,Bjørnekloen,
1440,København K,Fabriksområdet,
1440,København K,Nordområdet,
1440,København K,Mælkebøtten,
1441,København K,Norddyssen,
1441,København K,Midtdyssen,
1441,København K,Syddyssen,
1448,København K,Asiatisk Plads 2,Udenrigsministeriet
1450,København K,Nytorv,
1451,København K,Larslejsstræde,
1452,København K,Teglgårdstræde,
1453,København K,Sankt Peders Stræde,
1454,København K,Larsbjørnsstræde,
1455,København K,Studiestræde 1-49 + 2-42,
1456,København K,Vestergade,
1457,København K,Gammeltorv,
1458,København K,Kattesundet,
1459,København K,Frederiksberggade,
1460,København K,Mikkel Bryggers Gade,
1461,København K,Slutterigade,
1462,København K,Lavendelstræde,
1463,København K,Farvergade,
1464,København K,Hestemøllestræde,,
1465,København K,Gåsegade,,
1466,København K,Rådhusstræde,,
1467,København K,Vandkunsten,,
1468,København K,Løngangstræde,,
1470,København K,Stormgade 2-16,,
1471,København K,Ny Vestergade,,
1472,København K,"Ny Kongensgade,",til 17 + til 16,
1473,København K,Bryghusgade,,
1500,København V,Bernstorffsgade 40,,Vesterbro Postkontor
1501,København V,Postboks,,
1502,København V,Postboks,,
1503,København V,Postboks,,
1504,København V,Postboks,,
1505,København V,Postboks,,
1506,København V,Postboks,,
1507,København V,Postboks,,
1508,København V,Postboks,,
1509,København V,Postboks,,
1510,København V,Postboks,,
1532,København V,"Kystvejen 26, 2770 Kastrup",,"Internationalt Postcenter, returforsendelser + consignment"
1533,København V,"Kystvejen 26, 2770 Kastrup",,Internationalt Postcenter
1550,København V,Rådhuspladsen,,
1550,København V,Bag Rådhuset,,
1551,København V,Jarmers Plads,,
1552,København V,Vester Voldgade,,
1553,København V,Langebro,,
1553,København V,H.C. Andersens Boulevard,,
1554,København V,Studiestræde 51-69 + 46-54,,
1555,København V,Stormgade Ulige nr + 18-20,,
1556,København V,Dantes Plads,,
1557,København V,"Ny Kongensgade, fra 18 + fra 19",,
1558,København V,Christiansborggade,,
1559,København V,Christians Brygge 24 - 30,,
1560,København V,Kalvebod Brygge,,
1561,København V,Kalvebod Pladsvej,,
1561,København V,Fisketorvet,,
1562,København V,Hambrosgade,,
1563,København V,Otto Mønsteds Plads,,
1564,København V,Rysensteensgade,,
1566,København V,Tietgensgade 37,,Post Danmark A/S
1567,København V,Polititorvet,,
1568,København V,Mitchellsgade,,
1569,København V,Edvard Falcks Gade,,
1570,København V,Københavns Hovedbanegård,,
1570,København V,Banegårdspladsen,,
1571,København V,Otto Mønsteds Gade,,
1572,København V,Anker Heegaards Gade,,
1573,København V,Puggaardsgade,,
1574,København V,Niels Brocks Gade,,
1575,København V,Ved Glyptoteket,,
1576,København V,Stoltenbergsgade,,
1577,København V,Bernstorffsgade,,
1592,København V,Bernstorffsgade 17-19,,Københavns Socialdirektorat
1599,København V,Rådhuspladsen 1,,Københavns Rådhus
1600,København V,Gyldenløvesgade Ulige nr.,,
1601,København V,Vester Søgade,,
1602,København V,Nyropsgade,,
1603,København V,Dahlerupsgade,
1604,København V,Kampmannsgade,
1605,København V,Herholdtsgade,
1606,København V,Vester Farimagsgade,
1607,København V,Staunings Plads,
1608,København V,Jernbanegade,
1609,København V,Axeltorv,
1610,København V,Gammel Kongevej 1-51 + 2-10,
1611,København V,Hammerichsgade,
1612,København V,Ved Vesterport,
1613,København V,Meldahlsgade,
1614,København V,Trommesalen,
1615,København V,Sankt Jørgens Allé,
1616,København V,Stenosgade,
1617,København V,Bagerstræde,
1618,København V,Tullinsgade,
1619,København V,Værnedamsvej Lige nr.,
1620,København V,Vesterbros Torv,
1620,København V,Vesterbrogade 1-151 + 2-150,
1621,København V,Frederiksberg Allé 1 - 13B,
1622,København V,Boyesgade Ulige nr,
1623,København V,Kingosgade 1-9 + 2-6,
1624,København V,Brorsonsgade,
1630,København V,Vesterbrogade 3,Tivoli A/S
1631,København V,Herman Triers Plads,
1632,København V,Julius Thomsens Gade Lige nr,
1633,København V,Kleinsgade,
1634,København V,Rosenørns Allé 2-18,
1635,København V,Åboulevard 1-13,
1640,København V,Dahlerupsgade 6,Københavns Folkeregister
1650,København V,Istedgade,
1651,København V,Reventlowsgade,
1652,København V,Colbjørnsensgade,
1653,København V,Helgolandsgade,
1654,København V,Abel Cathrines Gade,
1655,København V,Viktoriagade,
1656,København V,Gasværksvej,
1657,København V,Eskildsgade,
1658,København V,Absalonsgade,
1659,København V,Svendsgade,
1660,København V,Dannebrogsgade,
1660,København V,Otto Krabbes Plads,
1661,København V,Westend,
1662,København V,Saxogade,
1663,København V,Oehlenschlægersgade,
1664,København V,Kaalundsgade,
1665,København V,Valdemarsgade,
1666,København V,Matthæusgade,
1667,København V,Frederiksstadsgade,
1668,København V,Mysundegade,
1669,København V,Flensborggade,
1670,København V,Enghave Plads,
1671,København V,Tove Ditlevsens Plads,
1671,København V,Haderslevgade,
1672,København V,Broagergade,
1673,København V,Ullerupgade,
1674,København V,"Enghavevej, til 79 + til 78",
1675,København V,Kongshøjgade,
1676,København V,Sankelmarksgade
1677,København V,Gråstensgade
1699,København V,Staldgade
1700,København V,Halmtorvet
1701,København V,Reverdilsgade
1702,København V,Stampesgade
1703,København V,Lille Colbjørnsensgade
1704,København V,Tietgensgade
1705,København V,Ingerslevsgade
1706,København V,Lille Istedgade
1707,København V,Maria Kirkeplads
1708,København V,Eriksgade
1709,København V,Skydebanegade
1710,København V,Kvægtorvsgade
1711,København V,Flæsketorvet
1712,København V,Høkerboderne
1713,København V,Kvægtorvet
1714,København V,Kødboderne
1715,København V,Slagtehusgade
1716,København V,Slagterboderne
1717,København V,Skelbækgade
1718,København V,Sommerstedgade
1719,København V,Krusågade
1720,København V,Sønder Boulevard
1721,København V,Dybbølsgade
1722,København V,Godsbanegade
1723,København V,Letlandsgade
1724,København V,Estlandsgade
1725,København V,Esbern Snares Gade
1726,København V,Arkonagade
1727,København V,Asger Rygs Gade
1728,København V,Skjalm Hvides Gade
1729,København V,Sigerstedgade
1730,København V,Knud Lavards Gade
1731,København V,Erik Ejegods Gade
1732,København V,Bodilsgade
1733,København V,Palnatokesgade
1734,København V,Heilsgade
1735,København V,Røddinggade
1736,København V,Bevtoftgade
1737,København V,Bustrupgade
1738,København V,Stenderupgade
1739,København V,Enghave Passage
1748,København V,Kammasvej 2
1749,København V,Rahbeks Allé 3-15
1750,København V,Vesterfælledvej
1751,København V,Sundevedsgade
1752,København V,Tøndergade
1753,København V,Ballumgade
1754,København V,Hedebygade
1755,København V,Møgeltøndergade
1756,København V,Amerikavej
1757,København V,Trøjborggade
1758,København V,Lyrskovgade
1759,København V,Rejsbygade
1760,København V,Ny Carlsberg Vej
1761,København V,Ejderstedgade
1762,København V,Slesvigsgade
1763,København V,Dannevirkegade,
1764,København V,Alsgade,
1765,København V,Angelgade,
1766,København V,Slien,
1770,København V,Carstensgade,
1771,København V,Lundbyesgade,
1772,København V,Ernst Meyers Gade,
1773,København V,Bissensgade,
1774,København V,Küchlersgade,
1775,København V,Freundsgade,
1777,København V,Jerichausgade,
1778,København V,Pasteursvej,
1780,København V,,Erhvervskunder
1782,København V,Ufrankerede svarforsendelser,
1784,København V,Gerdasgade 37,Forlagsgruppen (ufrankerede svarforsendelser)
1785,København V,Rådhuspladsen 33 og 37,Politiken og Ekstra Bladet
1786,København V,Vesterbrogade 8,Nordea
1787,København V,H.C. Andersens Boulevard 18,Dansk Industri
1789,København V,H.C. Andersens Boulevard 12,Star Tour A/S
1790,København V,,Erhvervskunder
1795,København V,Gerdasgade 35-37,Bogklubforlag
1799,København V,Vester Fælledvej 100,Carlsberg
1800,Frederiksberg C,"Vesterbrogade, fra 152 og 153",
1801,Frederiksberg C,Rahbeks Allé 2-36 + 17-23,
1802,Frederiksberg C,Halls Allé,
1803,Frederiksberg C,Brøndsteds Allé,
1804,Frederiksberg C,Bakkegårds Allé,
1805,Frederiksberg C,Kammasvej 1-3 + 4,
1806,Frederiksberg C,Jacobys Allé,
1807,Frederiksberg C,Schlegels Allé,
1808,Frederiksberg C,Asmussens Allé,
1809,Frederiksberg C,Frydendalsvej,
1810,Frederiksberg C,Platanvej,
1811,Frederiksberg C,Asgårdsvej,
1812,Frederiksberg C,Kochsvej,
1813,Frederiksberg C,Henrik Ibsens Vej,
1814,Frederiksberg C,Carit Etlars Vej,
1815,Frederiksberg C,Paludan Müllers Vej,
1816,Frederiksberg C,Engtoftevej,
1817,Frederiksberg C,Carl Bernhards Vej,
1818,Frederiksberg C,Kingosgade 8-12 + 11-17,
1819,Frederiksberg C,Værnedamsvej Ulige nr.,
1820,Frederiksberg C,Frederiksberg Allé 15-65 + 2-104,
1822,Frederiksberg C,Boyesgade Lige nr,
1823,Frederiksberg C,Haveselskabetsvej,
1824,Frederiksberg C,Sankt Thomas Allé,
1825,Frederiksberg C,Hauchsvej,
1826,Frederiksberg C,Alhambravej,
1827,Frederiksberg C,Mynstersvej,
1828,Frederiksberg C,Martensens Allé,
1829,Frederiksberg C,Madvigs Allé,
1835,Frederiksberg C,Postboks,Inkl. Frederiksberg C Postkontor
1850,Frederiksberg C,Gammel Kongevej 85-179 + 60-178,
1851,Frederiksberg C,Nyvej,
1852,Frederiksberg C,Amicisvej,
1853,Frederiksberg C,Maglekildevej,
1854,Frederiksberg C,Dr. Priemes Vej,
1855,Frederiksberg C,Hollændervej,
1856,Frederiksberg C,Edisonsvej
1857,Frederiksberg C,Hortensiavej
1860,Frederiksberg C,Christian Winthers Vej
1861,Frederiksberg C,Sagasvej
1862,Frederiksberg C,Rathsacksvej
1863,Frederiksberg C,Ceresvej
1864,Frederiksberg C,Grundtvigsvej
1865,Frederiksberg C,Grundtvigs Sidevej
1866,Frederiksberg C,Henrik Steffens Vej
1867,Frederiksberg C,Acaciavej
1868,Frederiksberg C,Bianco Lunos Allé
1870,Frederiksberg C,Bülowsvej
1871,Frederiksberg C,Thorvaldsensvej
1872,Frederiksberg C,Bomhoffs Have
1873,Frederiksberg C,Helenevej
1874,Frederiksberg C,Harsdorffsvej
1875,Frederiksberg C,Amalievej
1876,Frederiksberg C,Kastanievej
1877,Frederiksberg C,Lindevej
1878,Frederiksberg C,Uraniavej
1879,Frederiksberg C,H.C. Ørsteds Vej
1900,Frederiksberg C,Vodroffsvej
1901,Frederiksberg C,Tårnborgvej
1902,Frederiksberg C,Lykkesholms Allé
1903,Frederiksberg C,Sankt Knuds Vej
1904,Frederiksberg C,Forhåbningsholms Allé
1905,Frederiksberg C,Svanholmsvej
1906,Frederiksberg C,Schønbergsgade
1908,Frederiksberg C,Prinsesse Maries Allé
1909,Frederiksberg C,Vodroffs Tværgade
1910,Frederiksberg C,Danasvej
1911,Frederiksberg C,Niels Ebbesens Vej
1912,Frederiksberg C,Svend Trøsts Vej
1913,Frederiksberg C,Carl Plougs Vej
1914,Frederiksberg C,Vodroffslund
1915,Frederiksberg C,Danas Plads
1916,Frederiksberg C,Norsvej
1917,Frederiksberg C,Sveasvej
1920,Frederiksberg C,Forchhammersvej
1921,Frederiksberg C,Sankt Markus Plads
1922,Frederiksberg C,Sankt Markus Allé
1923,Frederiksberg C,Johnstrups Allé
1924,Frederiksberg C,Steenstrups Allé
1925,Frederiksberg C,Julius Thomsens Plads
1926,Frederiksberg C,Martinsvej
1927,Frederiksberg C,Suomisvej
1928,Frederiksberg C,Filippavej
1931,Frederiksberg C,Ufrankerede svarforsendelser
1950,Frederiksberg C,Hostrupsvej
1951,Frederiksberg C,Christian Richardts Vej
1952,Frederiksberg C,Falkonervænget
1953,Frederiksberg C,Sankt Nikolaj Vej
1954,Frederiksberg C,Hostrups Have
1955,Frederiksberg C,Dr. Abildgaards Allé
1956,Frederiksberg C,L.I. Brandes Allé
1957,Frederiksberg C,N.J. Fjords Allé
1958,Frederiksberg C,Rolighedsvej
1959,Frederiksberg C,Falkonergårdsvej
1960,Frederiksberg C,Åboulevard 15-55,
1961,Frederiksberg C,J.M. Thieles Vej,
1962,Frederiksberg C,Fuglevangsvej,
1963,Frederiksberg C,Bille Brahes Vej,
1964,Frederiksberg C,Ingemannsvej,
1965,Frederiksberg C,Erik Menveds Vej,
1966,Frederiksberg C,Steenwinkelsvej,
1967,Frederiksberg C,Svanemosegårdsvej,
1970,Frederiksberg C,Rosenørns Allé 1-65 + 20-70,
1971,Frederiksberg C,Adolph Steens Allé,
1972,Frederiksberg C,Worsaaesvej,
1973,Frederiksberg C,Jakob Dannefærds Vej,
1974,Frederiksberg C,Julius Thomsens Gade Ulige nr,
1999,Frederiksberg C,Rosenørns Allé 22,Danmarks Radio
2000,Frederiksberg,,
2100,København Ø,,
2200,København N,,
2300,København S,,
2400,København NV,,
2450,København SV,,
2500,Valby,,
2600,Glostrup,,
2605,Brøndby,,
2610,Rødovre,,
2620,Albertslund,,
2625,Vallensbæk,,
2630,Taastrup,,
2635,Ishøj,,
2640,Hedehusene,,
2650,Hvidovre,,
2660,Brøndby Strand,,
2665,Vallensbæk Strand,,
2670,Greve,,
2680,Solrød Strand,,
2690,Karlslunde,,
2700,Brønshøj,,
2720,Vanløse,,
2730,Herlev,,
2740,Skovlunde,,
2750,Ballerup,,
2760,Måløv,,
2765,Smørum,,
2770,Kastrup,,
2791,Dragør,,
2800,Kongens Lyngby,,
2820,Gentofte,,
2830,Virum,,
2840,Holte,,
2850,Nærum,,
2860,Søborg,,
2870,Dyssegård,,
2880,Bagsværd,,
2900,Hellerup,,
2920,Charlottenlund,,
2930,Klampenborg,,
2942,Skodsborg,,
2950,Vedbæk,,
2960,Rungsted Kyst,,
2970,Hørsholm
2980,Kokkedal
2990,Nivå
3000,Helsingør
3050,Humlebæk
3060,Espergærde
3070,Snekkersten
3080,Tikøb
3100,Hornbæk
3120,Dronningmølle
3140,Ålsgårde
3150,Hellebæk
3200,Helsinge
3210,Vejby
3220,Tisvildeleje
3230,Græsted
3250,Gilleleje
3300,Frederiksværk
3310,Ølsted
3320,Skævinge
3330,Gørløse
3360,Liseleje
3370,Melby
3390,Hundested
3400,Hillerød
3450,Allerød
3460,Birkerød
3480,Fredensborg
3490,Kvistgård
3500,Værløse
3520,Farum
3540,Lynge
3550,Slangerup
3600,Frederikssund
3630,Jægerspris
3650,Ølstykke
3660,Stenløse
3670,Veksø Sjælland
3700,Rønne
3720,Aakirkeby
3730,Nexø
3740,Svaneke
3751,Østermarie
3760,Gudhjem
3770,Allinge
3782,Klemensker
3790,Hasle
4050,Skibby
